,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,close_cand_30pct,algehad,isapolitician
1949,mr. D. Visser,,77.0,0.0655,Hoorn,14/06/1864,periodiek,3368,1188,1188,1175.0,7,1.0,588.0,5,0,331.0,0.2817,-0.2162,0,0,0,1,nee,nee
1950,mr. J. de Neufville,,70.0,0.0596,Hoorn,14/06/1864,periodiek,3368,1188,1188,1175.0,7,1.0,588.0,6,0,331.0,0.2817,-0.22210000000000002,0,0,0,1,nee,nee
1951,mr. L.F.C. Gasinjet,,48.0,0.0409,Hoorn,14/06/1864,periodiek,3368,1188,1188,1175.0,7,1.0,588.0,7,0,331.0,0.2817,-0.24080000000000001,0,0,0,1,nee,nee
2205,A. van Lennep,(DT)*,568.0,0.408,Haarlem,08/06/1869,periodiek,2426,1408,1408,1392.0,14,1.0,696.0,2,0,862.0,0.6193,-0.2113,0,0,0,1,nee,nee
2225,dr. C.G. von Reeken,(AH)*,395.0,0.3224,Haarlem,10/06/1879,periodiek,2784,1262,1263,1225.0,34,1.0,613.0,2,0,723.0,0.5902000000000001,-0.26780000000000004,0,0,0,1,nee,nee
2243,M.W. van der Aa,(DT)*,428.0,0.213,Haarlem,28/10/1884,algemeen,3111,2068,2068,4018.0,108,2.0,1005.0,5,0,863.0,0.4296,-0.2166,0,0,0,1,nee,nee
2251,M.W. van der Aa,(DT)*,689.0,0.30469999999999997,Haarlem,15/06/1886,algemeen,3392,2289,2289,4523.0,37,2.0,1131.0,4,0,1334.0,0.5899,-0.2852,0,0,0,1,nee,nee
2262,dr. E.C. BÃÂ¼chner,,478.0,0.2082,Amsterdam,27/08/1850,algemeen,3525,2316,2315,11479.0,86,5.0,1148.0,8,0,1145.0,0.4987,-0.2905,0,0,0,1,nee,nee
2291,mr. H.J. Koenen,,503.0,0.21350000000000002,Amsterdam,17/05/1853,algemeen,3873,2361,2362,11779.0,21,5.0,1178.0,11,0,986.0,0.41850000000000004,-0.20500000000000002,0,0,0,1,nee,nee
2367,D.A. van Heemskerk Veeckens,,553.0,0.3504,Amsterdam,03/11/1864,tussentijds,4441,1610,1604,1578.0,24,1.0,789.0,2,0,975.0,0.6179,-0.2675,0,0,0,1,nee,nee
2417,G.C.C. Pels Rijcken,AK/DT/DZH,767.0,0.3236,Amsterdam,08/06/1869,periodiek,3964,2386,2384,7110.0,24,3.0,1185.0,5,0,1360.0,0.5738,-0.2502,0,0,0,1,nee,nee
2418,H.A. Hartogh,AK/DT/DZH,721.0,0.3042,Amsterdam,08/06/1869,periodiek,3964,2386,2384,7110.0,24,3.0,1185.0,6,0,1360.0,0.5738,-0.26959999999999995,0,0,0,1,nee,nee
2452,A.J.H. van der Toorn,,378.0,0.2447,Amsterdam,10/06/1873,periodiek,4019,1691,1691,4635.0,435,3.0,773.0,5,0,834.0,0.5398,-0.2950999999999999,0,0,0,1,nee,nee
2589,mr. J.P. Amersfoordt,(AH)*,144.0,0.15960000000000002,Haarlemmermeer,08/06/1869,periodiek,1282,909,909,902.0,2,1.0,451.0,4,0,383.0,0.42460000000000003,-0.265,0,0,0,1,nee,nee
2653,mr. A. Jongkindt Coninck,,92.0,0.061399999999999996,Leiden,18/08/1857,tussentijds,2824,1514,1515,1498.0,10,1.0,749.0,4,0,490.0,0.3271,-0.2657,0,0,0,1,nee,nee
2668,mr. D.T. Siegenbeek,,663.0,0.3946,Leiden,14/06/1864,periodiek,2654,1689,1689,1680.0,8,1.0,840.0,2,0,1003.0,0.597,-0.20239999999999997,0,0,0,1,nee,nee
2731,D. Hartevelt,(AH)*,852.0,0.35729999999999995,Leiden,28/10/1884,algemeen,3141,2406,2406,4769.0,31,2.0,1192.0,4,0,1512.0,0.6341,-0.27680000000000005,0,0,0,1,nee,nee
2801,mr. P.F. Hubrecht,,603.0,0.3272,Gouda,10/06/1862,periodiek,3289,1847,1847,1843.0,3,1.0,922.0,2,0,1080.0,0.586,-0.2588,0,0,0,1,nee,nee
2863,mr. W. Thorbecke,(AH)*,999.0,0.377,Gouda,12/06/1883,periodiek,3874,2658,2658,2650.0,7,1.0,1325.0,2,0,1646.0,0.6211,-0.24409999999999998,0,0,0,1,nee,nee
2865,mr. W. Thorbecke,,871.0,0.3691,Gouda,30/10/1883,tussentijds,3874,2366,2366,2360.0,4,1.0,1180.0,2,0,1484.0,0.6288,-0.25970000000000004,0,0,0,1,nee,nee
