,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win,alrdy_in_pols
1756,J. Loopuit,SDAP,1351.0,0.35700000000000004,Amsterdam IV,17/06/1913,algemeen,4733,-,3843,3784.0,59,1.0,1892.0,2,0,2037.0,0.5383,-0.18129999999999996,0,0,1,mr. G.A. van Hamel,Lib,2037.0,0.5383,nee
1758,J. ter Haar jr.,CHU(Ka/AR),3469.0,0.2711,Amsterdam V,17/06/1913,algemeen,16136,-,13249,12796.0,453,1.0,6398.0,3,0,5304.0,0.41450000000000004,-0.14340000000000003,0,0,1,T.M. Ketelaar,VD,5304.0,0.41450000000000004,nee
1770,F.C.J. Netscher,VD,4701.0,0.4412,Enkhuizen,17/06/1913,algemeen,10937,-,10701,10655.0,46,1.0,5328.0,2,0,5463.0,0.5127,-0.07150000000000006,0,1,1,N. Oosterbaan,AR(Ka/CHU),5463.0,0.5127,nee
1774,C. Thomassen,SDAP,2171.0,0.2962,Den Helder,17/06/1913,algemeen,9031,-,7399,7330.0,69,1.0,3665.0,2,0,2778.0,0.379,-0.08279999999999998,0,1,1,mr. T.H. de Meester,Lib,2778.0,0.379,nee
1775,C. Thomassen,SDAP,2509.0,0.41850000000000004,Den Helder,25/06/1913,herstemming,9031,-,6085,5995.0,90,1.0,2998.0,2,0,3486.0,0.5815,-0.16299999999999998,0,0,1,mr. T.H. de Meester,Lib(VL/VD),3486.0,0.5815,nee
1777,C.D. Wesseling,Ka(AR/CHU),2920.0,0.3679,Hoorn,17/06/1913,algemeen,9070,-,7976,7936.0,40,1.0,3968.0,2,0,3859.0,0.4863,-0.1184,0,0,1,W.J.E.H.M. de Jong,Lib,3859.0,0.4863,nee
1778,J.G. Moojen,Lib,3206.0,0.4302,Goes,17/06/1913,algemeen,8435,-,7561,7452.0,109,1.0,3726.0,2,0,3922.0,0.5263,-0.09609999999999996,0,1,1,jhr.mr. A.F. de Savornin Lohman,CHU(Ka/AR),3922.0,0.5263,nee
1781,mr. P. Dieleman,AR(Ka/CHU),3519.0,0.41619999999999996,Oostburg,17/06/1913,algemeen,9328,-,8606,8456.0,150,1.0,4228.0,2,0,4710.0,0.557,-0.1408000000000001,0,0,1,jhr. R.R.L. de Muralt,Lib,4710.0,0.557,nee
1796,dr. P. Kohnstamm,VD,2076.0,0.3251,Weststellingwerf,17/06/1913,algemeen,7878,-,6442,6385.0,57,1.0,3193.0,2,0,2638.0,0.4132,-0.08810000000000001,0,1,1,F.W.N. Hugenholtz,SDAP,2638.0,0.4132,nee
1797,J. de Bruijn,AR(Ka/CHU),1671.0,0.26170000000000004,Weststellingwerf,17/06/1913,algemeen,7878,-,6442,6385.0,57,1.0,3193.0,3,0,2638.0,0.4132,-0.15149999999999997,0,0,1,F.W.N. Hugenholtz,SDAP,2638.0,0.4132,nee
