Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
mr. H.J. Dijckmeester,Tiel,15/06/1886,,,,,,,,,,
mr. P. Rink,Tiel,15/06/1886,,,,,,,,,,
mr. P. Rink,Tiel,01/09/1887,,,,,,,,,,
mr. M. Tydeman jr.,Tiel,01/09/1887,,,,,,,,,,
E.W. van Dam van Isselt,Amersfoort,27/08/1850,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,17/05/1853,,,,,,,,,,
mr. S. van Walchren,Amersfoort,17/05/1853,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,06/06/1853,,,,,,,,,,
mr. J.F. baron van Reede van Oudtshoorn,Amersfoort,10/06/1856,,,,,,,,,,
S.A. van Hoogstraten,Amersfoort,10/06/1856,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,24/06/1856,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,22/09/1857,,,,,,,,,,
mr. A.W. Engelen,Amersfoort,06/10/1857,,,,,,,,,,
mr. J.K. baron van Goltstein,Amersfoort,24/04/1860,,,,,,,,,,
mr. G. Groen van Prinsterer,Amersfoort,08/05/1860,,,,,,,,,,
jhr.mr. H.A.M. van Asch van Wijck,Amersfoort,12/06/1860,,,,,,,,,,
mr. H. Verloren van Themaat,Amersfoort,10/06/1862,,,,,,,,,,
mr. H. Verloren van Themaat,Amersfoort,24/06/1862,,,,,,,,,,
mr. J.K. baron van Goltstein,Amersfoort,08/06/1869,,,,,,,,,,
J.A. Alberdingk Thijm,Amersfoort,13/06/1871,,,,,,,,,,
mr. J.K. baron van Goltstein,Amersfoort,10/06/1873,,,,,,,,,,
mr. W. baron van Goltstein,Amersfoort,23/06/1874,,,,,,,,,,
jhr.mr. M.M. van Asch van Wijck,Amersfoort,07/07/1874,,,,,,,,,,
mr. W. baron van Goltstein,Amersfoort,12/06/1877,,,,,,,,,,
